station_id,stationname,date,daytype,rides
40010,Austin-Forest Park,1/1/2001,U,290
40020,Harlem-Lake,1/1/2001,U,633
40030,Pulaski-Lake,1/1/2001,U,483
40040,Quincy/Wells,1/1/2001,U,374
40050,Davis,1/1/2001,U,804
40060,Belmont-O'Hare,1/1/2001,U,1165
40070,Jackson/Dearborn,1/1/2001,U,649
40080,Sheridan,1/1/2001,U,1116
40090,Damen-Brown,1/1/2001,U,411
40100,Morse,1/1/2001,U,1698
40120,35th/Archer,1/1/2001,U,318
40130,51st,1/1/2001,U,364
40140,Skokie,1/1/2001,U,0
40150,Pulaski-Cermak,1/1/2001,U,0
40160,LaSalle/Van Buren,1/1/2001,U,96
40170,Ashland-Lake,1/1/2001,U,246
40180,Oak Park-Forest Park,1/1/2001,U,157
40190,Sox-35th-Dan Ryan,1/1/2001,U,1131
40200,Randolph/Wabash,1/1/2001,U,834
40210,Damen-Cermak,1/1/2001,U,0
40220,Western-Forest Park,1/1/2001,U,318
40230,Cumberland,1/1/2001,U,788
40240,79th,1/1/2001,U,2470
40250,Kedzie-Homan-Forest Park,1/1/2001,U,448
40260,State/Lake,1/1/2001,U,2059
40270,Main,1/1/2001,U,279
40280,Central-Lake,1/1/2001,U,700
40290,Ashland/63rd,1/1/2001,U,540
40300,Indiana,1/1/2001,U,199
40310,Western-Orange,1/1/2001,U,460
40320,Division/Milwaukee,1/1/2001,U,854
40330,Grand/State,1/1/2001,U,2542
40340,Berwyn,1/1/2001,U,1046
40350,UIC-Halsted,1/1/2001,U,273
40360,Southport,1/1/2001,U,417
40370,Washington/Dearborn,1/1/2001,U,1039
40380,Clark/Lake,1/1/2001,U,1080
40390,Forest Park,1/1/2001,U,660
40400,Noyes,1/1/2001,U,72
40420,Cicero-Cermak,1/1/2001,U,0
40430,Clinton-Forest Park,1/1/2001,U,546
40440,California-Cermak,1/1/2001,U,0
40450,95th/Dan Ryan,1/1/2001,U,3948
40460,Merchandise Mart,1/1/2001,U,185
40470,Racine,1/1/2001,U,286
40480,Cicero-Lake,1/1/2001,U,405
40490,Grand/Milwaukee,1/1/2001,U,182
40500,Washington/State,1/1/2001,U,1181
40510,Garfield-South Elevated,1/1/2001,U,248
40520,Foster,1/1/2001,U,126
40530,Diversey,1/1/2001,U,670
40540,Wilson,1/1/2001,U,1449
40550,Irving Park-O'Hare,1/1/2001,U,731
40560,Jackson/State,1/1/2001,U,1255
40570,California/Milwaukee,1/1/2001,U,666
40580,54th/Cermak,1/1/2001,U,0
40590,Damen/Milwaukee,1/1/2001,U,870
40600,Kostner,1/1/2001,U,0
40610,Ridgeland,1/1/2001,U,141
40630,Clark/Division,1/1/2001,U,2314
40640,Madison/Wabash,1/1/2001,U,368
40650,North/Clybourn,1/1/2001,U,1156
40660,Armitage,1/1/2001,U,355
40670,Western/Milwaukee,1/1/2001,U,621
40680,Adams/Wabash,1/1/2001,U,700
40690,Dempster,1/1/2001,U,177
40700,Laramie,1/1/2001,U,346
40710,Chicago/Franklin,1/1/2001,U,384
40720,East 63rd-Cottage Grove,1/1/2001,U,391
40730,Washington/Wells,1/1/2001,U,259
40740,Western-Cermak,1/1/2001,U,0
40750,Harlem-O'Hare,1/1/2001,U,469
40760,Granville,1/1/2001,U,1059
40770,Lawrence,1/1/2001,U,874
40780,Central Park,1/1/2001,U,0
40790,Monroe/Dearborn,1/1/2001,U,342
40800,Sedgwick,1/1/2001,U,431
40810,Medical Center,1/1/2001,U,479
40820,Rosemont,1/1/2001,U,808
40830,18th,1/1/2001,U,0
40840,South Boulevard,1/1/2001,U,202
40850,Library,1/1/2001,U,156
40870,Francisco,1/1/2001,U,196
40880,Thorndale,1/1/2001,U,953
40890,O'Hare Airport,1/1/2001,U,6383
40900,Howard,1/1/2001,U,2068
40910,63rd-Dan Ryan,1/1/2001,U,1366
40920,Pulaski-Forest Park,1/1/2001,U,474
40930,Midway Airport,1/1/2001,U,2030
40940,Halsted/63rd,1/1/2001,U,230
40960,Pulaski-Orange,1/1/2001,U,469
40970,Cicero-Forest Park,1/1/2001,U,413
40980,Harlem-Forest Park,1/1/2001,U,173
40990,69th,1/1/2001,U,2366
41000,Cermak-Chinatown,1/1/2001,U,1273
41010,Rockwell,1/1/2001,U,209
41020,Logan Square,1/1/2001,U,987
41030,Polk,1/1/2001,U,0
41040,Kedzie-Cermak,1/1/2001,U,0
41050,Linden,1/1/2001,U,176
41060,Ashland-Orange,1/1/2001,U,242
41070,Kedzie-Lake,1/1/2001,U,357
41080,47th-South Elevated,1/1/2001,U,427
41090,Monroe/State,1/1/2001,U,979
41120,35-Bronzeville-IIT,1/1/2001,U,448
41130,Halsted-Orange,1/1/2001,U,306
41140,King Drive,1/1/2001,U,144
41150,Kedzie-Midway,1/1/2001,U,460
41160,Clinton-Lake,1/1/2001,U,217
41170,Garfield-Dan Ryan,1/1/2001,U,1457
41180,Kedzie-Brown,1/1/2001,U,402
41190,Jarvis,1/1/2001,U,590
41200,Argyle,1/1/2001,U,993
41210,Wellington,1/1/2001,U,270
41220,Fullerton,1/1/2001,U,1763
41230,47th-Dan Ryan,1/1/2001,U,787
41240,Addison-O'Hare,1/1/2001,U,388
41250,Central-Evanston,1/1/2001,U,180
41260,Austin-Lake,1/1/2001,U,399
41270,43rd,1/1/2001,U,211
41280,Jefferson Park,1/1/2001,U,1302
41290,Kimball,1/1/2001,U,869
41300,Loyola,1/1/2001,U,1403
41310,Paulina,1/1/2001,U,323
41320,Belmont-North Main,1/1/2001,U,2872
41330,Montrose-O'Hare,1/1/2001,U,383
41340,LaSalle,1/1/2001,U,142
41350,Oak Park-Lake,1/1/2001,U,170
41360,California-Lake,1/1/2001,U,213
41380,Bryn Mawr,1/1/2001,U,1407
41400,Roosevelt,1/1/2001,U,1363
41410,Chicago/Milwaukee,1/1/2001,U,252
41420,Addison-North Main,1/1/2001,U,1227
41430,87th,1/1/2001,U,1659
41440,Addison-Brown,1/1/2001,U,225
41450,Chicago/State,1/1/2001,U,4395
41460,Irving Park-Brown,1/1/2001,U,327
41480,Western-Brown,1/1/2001,U,715
41490,Harrison,1/1/2001,U,502
41500,Montrose-Brown,1/1/2001,U,338
41660,Lake/State,1/1/2001,U,2942
40010,Austin-Forest Park,1/2/2001,W,1240
40020,Harlem-Lake,1/2/2001,W,2950
40030,Pulaski-Lake,1/2/2001,W,1230
40040,Quincy/Wells,1/2/2001,W,7737
40050,Davis,1/2/2001,W,3199
40060,Belmont-O'Hare,1/2/2001,W,4046
40070,Jackson/Dearborn,1/2/2001,W,5777
40080,Sheridan,1/2/2001,W,3854
40090,Damen-Brown,1/2/2001,W,1823
40100,Morse,1/2/2001,W,3807
40120,35th/Archer,1/2/2001,W,1654
40130,51st,1/2/2001,W,913
40140,Skokie,1/2/2001,W,2107
40150,Pulaski-Cermak,1/2/2001,W,398
40160,LaSalle/Van Buren,1/2/2001,W,3508
40170,Ashland-Lake,1/2/2001,W,1142
40180,Oak Park-Forest Park,1/2/2001,W,1156
40190,Sox-35th-Dan Ryan,1/2/2001,W,2661
40200,Randolph/Wabash,1/2/2001,W,5194
40210,Damen-Cermak,1/2/2001,W,566
40220,Western-Forest Park,1/2/2001,W,702
40230,Cumberland,1/2/2001,W,4110
40240,79th,1/2/2001,W,6075
40250,Kedzie-Homan-Forest Park,1/2/2001,W,1074
40260,State/Lake,1/2/2001,W,7286
40270,Main,1/2/2001,W,1104
40280,Central-Lake,1/2/2001,W,1835
40290,Ashland/63rd,1/2/2001,W,1523
40300,Indiana,1/2/2001,W,456
40310,Western-Orange,1/2/2001,W,2627
40320,Division/Milwaukee,1/2/2001,W,3650
40330,Grand/State,1/2/2001,W,7790
40340,Berwyn,1/2/2001,W,2891
40350,UIC-Halsted,1/2/2001,W,1775
40360,Southport,1/2/2001,W,2409
40370,Washington/Dearborn,1/2/2001,W,7757
40380,Clark/Lake,1/2/2001,W,13263
40390,Forest Park,1/2/2001,W,2971
40400,Noyes,1/2/2001,W,389
40420,Cicero-Cermak,1/2/2001,W,754
40430,Clinton-Forest Park,1/2/2001,W,2329
40440,California-Cermak,1/2/2001,W,588
40450,95th/Dan Ryan,1/2/2001,W,11692
40460,Merchandise Mart,1/2/2001,W,5350
40470,Racine,1/2/2001,W,1142
40480,Cicero-Lake,1/2/2001,W,1019
40490,Grand/Milwaukee,1/2/2001,W,1003
40500,Washington/State,1/2/2001,W,6507
40510,Garfield-South Elevated,1/2/2001,W,617
40520,Foster,1/2/2001,W,546
40530,Diversey,1/2/2001,W,3858
40540,Wilson,1/2/2001,W,3519
40550,Irving Park-O'Hare,1/2/2001,W,3444
40560,Jackson/State,1/2/2001,W,8712
40570,California/Milwaukee,1/2/2001,W,2508
40580,54th/Cermak,1/2/2001,W,1404
40590,Damen/Milwaukee,1/2/2001,W,3624
40600,Kostner,1/2/2001,W,218
40610,Ridgeland,1/2/2001,W,1036
40630,Clark/Division,1/2/2001,W,5657
40640,Madison/Wabash,1/2/2001,W,3294
40650,North/Clybourn,1/2/2001,W,3093
40660,Armitage,1/2/2001,W,2537
40670,Western/Milwaukee,1/2/2001,W,2504
40680,Adams/Wabash,1/2/2001,W,5750
40690,Dempster,1/2/2001,W,561
40700,Laramie,1/2/2001,W,1091
40710,Chicago/Franklin,1/2/2001,W,3485
40720,East 63rd-Cottage Grove,1/2/2001,W,1216
40730,Washington/Wells,1/2/2001,W,6788
40740,Western-Cermak,1/2/2001,W,418
40750,Harlem-O'Hare,1/2/2001,W,2299
40760,Granville,1/2/2001,W,2717
40770,Lawrence,1/2/2001,W,2212
40780,Central Park,1/2/2001,W,337
40790,Monroe/Dearborn,1/2/2001,W,4971
40800,Sedgwick,1/2/2001,W,1844
40810,Medical Center,1/2/2001,W,1372
40820,Rosemont,1/2/2001,W,4433
40830,18th,1/2/2001,W,813
40840,South Boulevard,1/2/2001,W,745
40850,Library,1/2/2001,W,1878
40870,Francisco,1/2/2001,W,965
40880,Thorndale,1/2/2001,W,2291
40890,O'Hare Airport,1/2/2001,W,9301
40900,Howard,1/2/2001,W,5437
40910,63rd-Dan Ryan,1/2/2001,W,3047
40920,Pulaski-Forest Park,1/2/2001,W,1001
40930,Midway Airport,1/2/2001,W,7727
40940,Halsted/63rd,1/2/2001,W,674
40960,Pulaski-Orange,1/2/2001,W,3563
40970,Cicero-Forest Park,1/2/2001,W,836
40980,Harlem-Forest Park,1/2/2001,W,667
40990,69th,1/2/2001,W,5732
41000,Cermak-Chinatown,1/2/2001,W,2036
41010,Rockwell,1/2/2001,W,1107
41020,Logan Square,1/2/2001,W,4199
41030,Polk,1/2/2001,W,2011
41040,Kedzie-Cermak,1/2/2001,W,335
41050,Linden,1/2/2001,W,941
41060,Ashland-Orange,1/2/2001,W,988
41070,Kedzie-Lake,1/2/2001,W,850
41080,47th-South Elevated,1/2/2001,W,1116
41090,Monroe/State,1/2/2001,W,6848
41120,35-Bronzeville-IIT,1/2/2001,W,1195
41130,Halsted-Orange,1/2/2001,W,1774
41140,King Drive,1/2/2001,W,580
41150,Kedzie-Midway,1/2/2001,W,2335
41160,Clinton-Lake,1/2/2001,W,1681
41170,Garfield-Dan Ryan,1/2/2001,W,3748
41180,Kedzie-Brown,1/2/2001,W,1173
41190,Jarvis,1/2/2001,W,1338
41200,Argyle,1/2/2001,W,2405
41210,Wellington,1/2/2001,W,2194
41220,Fullerton,1/2/2001,W,7054
41230,47th-Dan Ryan,1/2/2001,W,1902
41240,Addison-O'Hare,1/2/2001,W,1998
41250,Central-Evanston,1/2/2001,W,842
41260,Austin-Lake,1/2/2001,W,1621
41270,43rd,1/2/2001,W,640
41280,Jefferson Park,1/2/2001,W,5812
41290,Kimball,1/2/2001,W,3335
41300,Loyola,1/2/2001,W,3508
41310,Paulina,1/2/2001,W,1795
41320,Belmont-North Main,1/2/2001,W,7703
41330,Montrose-O'Hare,1/2/2001,W,1637
41340,LaSalle,1/2/2001,W,1866
41350,Oak Park-Lake,1/2/2001,W,1272
41360,California-Lake,1/2/2001,W,619
41380,Bryn Mawr,1/2/2001,W,3983
41400,Roosevelt,1/2/2001,W,4775
41410,Chicago/Milwaukee,1/2/2001,W,1706
41420,Addison-North Main,1/2/2001,W,3937
41430,87th,1/2/2001,W,4577
41440,Addison-Brown,1/2/2001,W,1512
41450,Chicago/State,1/2/2001,W,11058
41460,Irving Park-Brown,1/2/2001,W,2040
41480,Western-Brown,1/2/2001,W,3194
41490,Harrison,1/2/2001,W,2390
41500,Montrose-Brown,1/2/2001,W,1710
41660,Lake/State,1/2/2001,W,12087
40010,Austin-Forest Park,1/3/2001,W,1412
40020,Harlem-Lake,1/3/2001,W,3107
40030,Pulaski-Lake,1/3/2001,W,1394
40040,Quincy/Wells,1/3/2001,W,8051
40050,Davis,1/3/2001,W,3476
40060,Belmont-O'Hare,1/3/2001,W,4153
40070,Jackson/Dearborn,1/3/2001,W,6482
40080,Sheridan,1/3/2001,W,4147
40090,Damen-Brown,1/3/2001,W,1905
40100,Morse,1/3/2001,W,4047
40120,35th/Archer,1/3/2001,W,1777
40130,51st,1/3/2001,W,1071
40140,Skokie,1/3/2001,W,2363
40150,Pulaski-Cermak,1/3/2001,W,397
40160,LaSalle/Van Buren,1/3/2001,W,3809
40170,Ashland-Lake,1/3/2001,W,1235
40180,Oak Park-Forest Park,1/3/2001,W,1282
40190,Sox-35th-Dan Ryan,1/3/2001,W,2843
40200,Randolph/Wabash,1/3/2001,W,5472
40210,Damen-Cermak,1/3/2001,W,613
40220,Western-Forest Park,1/3/2001,W,812
40230,Cumberland,1/3/2001,W,4436
40240,79th,1/3/2001,W,6694
40250,Kedzie-Homan-Forest Park,1/3/2001,W,1084
40260,State/Lake,1/3/2001,W,7781
40270,Main,1/3/2001,W,1139
40280,Central-Lake,1/3/2001,W,1763
40290,Ashland/63rd,1/3/2001,W,1592
40300,Indiana,1/3/2001,W,514
40310,Western-Orange,1/3/2001,W,2846
40320,Division/Milwaukee,1/3/2001,W,4029
40330,Grand/State,1/3/2001,W,8301
40340,Berwyn,1/3/2001,W,3114
40350,UIC-Halsted,1/3/2001,W,1945
40360,Southport,1/3/2001,W,2635
40370,Washington/Dearborn,1/3/2001,W,8257
