INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,8/2/2014,16,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/15/2014,5,,,,,
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,7/27/2014,1,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,8/7/2014,6,,,,,
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,7/23/2014,1,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/11/2014,8,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/4/2014,3,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,7/26/2014,5,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,8/1/2014,2,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,7/13/2014,1,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/16/2014,12,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,8/7/2014,1,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/17/2014,11,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,8/3/2014,22,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/11/2014,10,,,,,
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,7/26/2014,1,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,8/6/2014,7,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/10/2014,14,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/6/2014,2,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,8/3/2014,4,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/12/2014,9,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,7/8/2014,1,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/30/2014,7,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/23/2014,1,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,8/7/2014,20,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/17/2014,3,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/19/2014,8,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,8/1/2014,4,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/6/2014,10,,,,,
VAN BUREN AND WESTERN,,2400 W VAN BUREN STREE,8/4/2014,1,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,7/11/2014,1,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,7/29/2014,2,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,8/7/2014,1,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,8/5/2014,4,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,7/15/2014,2,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/29/2014,2,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,8/3/2014,2,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,7/13/2014,3,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,8/8/2014,1,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/2/2014,22,,,,,
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,7/23/2014,1,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/21/2014,7,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/14/2014,1,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/11/2014,2,,,,,
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,8/3/2014,2,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,8/5/2014,3,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/2/2014,1,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,8/2/2014,20,,,,,
